SAMPLE_ID,MTERFD2,KCNK5,AP3M2,PODXL2,ZNF683,SNRPD3,HAPLN3,NMI,ST7L,HIST1H2BC,C10orf35,BBS2,FAM98A,UFD1L,USF1,PLEKHG3,APOL3,ORC6L,MTAP,DBF4,HIST1H2BN,RNF148,KIF24,CLASS
TCGA-DK-AA6U-01,0.135927252,0.797882563,0.157486234,0.199935047,0.004048207,0.375280804,0.023350484,0.245071756,0.149354411,0.016372961,0.630342317,0.453530647,0.2308293,0.215095013,0.100697112,0.093250603,0.036062735,0.442345318,0.081458917,0.286827254,0.014866901,0.023453426,0.214199254,2
TCGA-DK-AA6W-01,0.36295586,0.033200384,0.224723498,0.209140035,0.000923426,0.145628209,0.032011447,0.040467957,0.504689729,0.016043836,0.562369261,0.38746884,0.30359514,0.152813905,0.071154257,0.128048487,0.014772598,0.379499128,0.030439256,0.509170857,0.018397823,0.008291463,0.196002998,1
TCGA-DK-AA6X-01,0.163304954,0.041089609,0.130629309,0.025239741,0.005559379,0.073970108,0.049195946,0.573649865,0.313840107,0.010357256,0.293921869,0.813828966,0.148461228,0.139496931,0.048209868,0.124315481,0.124794891,0.191167826,0.004443036,0.35599126,0.01249191,0.026275269,0.062609291,1
TCGA-DK-AA71-01,0.304843729,0.037153576,0.246156837,0.23918045,0.001852256,0.264033104,0.076524591,0.344737963,0.203666914,0.053306213,0.56906948,0.352266644,0.123187108,0.145769351,0.098004123,0.1359663,0.083366717,0.199925539,0.055989996,0.160406277,0.039539325,0.020790584,0.044830237,2
TCGA-DK-AA74-01,0.252015694,0.082822528,0.146864719,0.025141248,0.039203465,0.279106161,0.406805132,0.426112442,0.12177216,0.035084984,0.115394074,0.18182092,0.151782386,0.358222095,0.081174261,0.312039739,0.250599328,0.126898614,0.012821231,0.109795423,0.028856906,0.015173679,0.060262455,1
TCGA-DK-AA75-01,0.253087712,0.296074171,0.126539115,0.508549489,0.000340413,0.335876371,0.007875327,0.079987596,0.080759308,0.004226479,0.749586367,0.194049875,0.324685346,0.209125464,0.270843148,0.044330942,0.013696871,0.889785344,0.060906697,0.286639592,0.038756857,0.030569959,0.146203715,2
TCGA-DK-AA76-01,0.15008986,0.130688445,0.055930555,0.554204541,0.000588976,0.007382223,0.006570461,0.249185359,0.30233811,0.036308445,0.420579911,0.182213921,0.297145447,0.052309176,0.059603168,0.069074663,0.007435584,0.246895663,0.000311121,0.510807338,0.019557998,0.017630657,0.084944447,1
TCGA-DK-AA77-01,0.115408527,0.152889906,0.174888569,0.112134032,0.01000246,0.286205491,0.046222093,0.183965415,0.276242714,0.035994219,0.317860887,0.546328565,0.203497642,0.392710121,0.047540962,0.150904186,0.186895181,0.201217077,0.001335405,0.273119933,0.043211887,0,0.177577264,2
TCGA-E5-A2PC-01,0.258095316,0.10735654,0.229249387,0.063029116,0.027981153,0.123921309,0.053494165,0.597668726,0.140600693,0.130330827,0.264622224,0.405631207,0.18311025,0.10801518,0.088547329,0.480373579,0.170049613,0.217778422,0.000789128,0.250349939,0.076640531,0.021026575,0.093473845,1
TCGA-E5-A4TZ-01,0.243745144,0.005574404,0.060054865,0.274042474,0.001535141,0.075586457,0.052268547,0.320154938,0.227449976,0.148283319,0.35696617,0.205433351,0.084880561,0.08337046,0.05615747,0.277067681,0.065895422,0.153895893,0.10353834,0.393429948,0.03360954,0.05301917,0.264206724,2
TCGA-E5-A4U1-01,0.01279146,0.054209831,0.154766015,0.198383888,0.010498841,0.255354716,0.044531966,0.168963343,0.292158866,7.13E-05,0.627983371,0.19753343,0.062741918,0.125544303,0.536002556,0.218610517,0.02819728,0.438044511,0.042904765,0.188300414,0.00609848,0.009620374,0.042135043,2
TCGA-E7-A3X6-01,0.177967191,0.316135189,0.256610651,0.075362131,0.086532942,0.170079171,0.295897035,0.484463834,0.207267194,0.00787277,0.156869579,0.440519454,0.223419384,0.214126574,0.101162175,0.244904219,0.249042106,0.157293142,0.104449468,0.240496857,0.006729229,0.014154401,0.07493349,1
TCGA-E7-A3Y1-01,0.332855264,0.042770809,0.533123542,0.099279156,0.013717597,0.104768163,0.015489934,0.115281944,0.312495804,0.011658778,0.270734962,0.413129093,0.157157033,0.176993101,0.177844044,0.322126434,0.060351065,0.130567254,0.074960034,0.145584112,0.021690556,0.02932808,0.082470688,1
TCGA-E7-A4IJ-01,0.1132176,0.473559355,0.182897967,0.346277664,0.065602657,0.303563553,0.121694213,0.493411075,0.110223749,0.109084707,0.532599406,0.13146033,0.470072413,0.122756769,0.128987466,0.059063538,0.0594804,0.195339091,0.088241996,0.283186918,0.107609837,0.082583241,0.235118502,2
TCGA-E7-A4XJ-01,0.271320111,0.059012875,0.159959012,0.0950958,0.000272942,0.161521656,0.012299031,0.10917352,0.220352188,0.039778959,0.16896989,0.351345878,0.154982937,0.064986568,0.034381025,0.264509827,0.008980761,0.23065623,0.105240733,0.160434903,0.104874115,0.024509525,0.071844041,1
TCGA-E7-A519-01,0.130859822,0.020903973,0.300061408,0.227179036,0.015750833,0.301327411,0.165479223,0.104668807,0.147375252,0.021484187,0.364579747,0.115885596,0.117059033,0.263290753,0.273798868,0.376712182,0.233840272,0.026106935,0.025885009,0,0.032021262,0,0.010653734,1
TCGA-E7-A541-01,0.098078371,0.522050718,0.091999563,0.07113224,0.054117616,0.558045157,0.039861927,0.509820487,0.197407865,0.022950866,0.293310708,0.180553077,0.075417155,0.286344466,0.202635853,0.183026227,0.296918556,0.19327289,0.066352008,0.318423752,0.067877415,0,0.137495347,2
